"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"R3 High-Memory Extra Large","r3.xlarge","30.5 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","80 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$0.333000 hourly","$0.209000 hourly","$0.393 hourly","$0.269 hourly","$0.433 hourly","$0.242 hourly","$0.583000 hourly","$0.428000 hourly","$0.738 hourly","$0.519 hourly","$1.378 hourly","$1.213 hourly","$2.017 hourly","$1.895 hourly","$0.4 hourly","$0.256 hourly","$0.812 hourly","$0.668 hourly","$1.832 hourly","$1.688 hourly","unavailable","$0.090 hourly"
"R4 High-Memory 16xlarge","r4.16xlarge","488.0 GiB","195 units","64 vCPUs","0","0","3.047 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","20 Gigabit","14000.0 Mbps","1750.0 MB/s","75000.0 IOPS","No","750","15","Yes","Yes","Yes","No","HVM","Yes","$4.256000 hourly","$2.688000 hourly","$4.386 hourly","$2.818 hourly","$4.356 hourly","$2.721 hourly","$7.200000 hourly","$5.632000 hourly","$8.327 hourly","$6.759 hourly","$14.88 hourly","$13.312 hourly","$31.2 hourly","$29.632 hourly","$5.3376 hourly","$3.7696 hourly","$11.936 hourly","$10.368 hourly","$28.256 hourly","$26.688 hourly","0","$0.270 hourly"
"R4 High-Memory Double Extra Large","r4.2xlarge","61.0 GiB","27 units","8 vCPUs","0","0","3.375 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.532000 hourly","$0.336000 hourly","$0.662 hourly","$0.433 hourly","$0.632 hourly","$0.369 hourly","$0.900000 hourly","$0.704000 hourly","$0.787 hourly","$0.628 hourly","$1.86 hourly","$1.664 hourly","$3.9 hourly","$3.704 hourly","$0.6672 hourly","$0.4712 hourly","$1.492 hourly","$1.296 hourly","$3.532 hourly","$3.336 hourly","0","$0.133 hourly"
"R4 High-Memory Quadruple Extra Large","r4.4xlarge","122.0 GiB","53 units","16 vCPUs","0","0","3.312 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.064000 hourly","$0.672000 hourly","$1.194 hourly","$0.802 hourly","$1.164 hourly","$0.705 hourly","$1.800000 hourly","$1.408000 hourly","$2.082 hourly","$1.69 hourly","$3.72 hourly","$3.328 hourly","$7.8 hourly","$7.408 hourly","$1.3344 hourly","$0.9424 hourly","$2.984 hourly","$2.592 hourly","$7.064 hourly","$6.672 hourly","0","$0.266 hourly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","99 units","32 vCPUs","0","0","3.094 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","37500.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.128000 hourly","$1.344000 hourly","$2.258 hourly","$1.474 hourly","$2.228 hourly","$1.377 hourly","$3.600000 hourly","$2.816000 hourly","$4.164 hourly","$3.38 hourly","$7.44 hourly","$6.656 hourly","$15.6 hourly","$14.816 hourly","$2.6688 hourly","$1.8848 hourly","$5.968 hourly","$5.184 hourly","$14.128 hourly","$13.344 hourly","0","$0.270 hourly"
"R4 High-Memory Large","r4.large","15.25 GiB","7 units","2 vCPUs","0","0","3.5 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","425.0 Mbps","53.13 MB/s","3000.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","$0.133000 hourly","$0.084000 hourly","$0.193 hourly","$0.144 hourly","$0.233 hourly","$0.117 hourly","$0.225000 hourly","$0.176000 hourly","$0.296 hourly","$0.247 hourly","$0.705 hourly","$0.656 hourly","unavailable","unavailable","$0.2006 hourly","$0.1516 hourly","$0.613 hourly","$0.564 hourly","unavailable","unavailable","0","unavailable"
"R4 High-Memory Extra Large","r4.xlarge","30.5 GiB","13.5 units","4 vCPUs","0","0","3.375 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","850.0 Mbps","106.25 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.266000 hourly","$0.168000 hourly","$0.396 hourly","$0.228 hourly","$0.366 hourly","$0.201 hourly","$0.450000 hourly","$0.352000 hourly","$0.521 hourly","$0.423 hourly","$0.93 hourly","$0.832 hourly","$1.95 hourly","$1.852 hourly","$0.3336 hourly","$0.2356 hourly","$0.746 hourly","$0.648 hourly","$1.766 hourly","$1.668 hourly","0","$0.067 hourly"
"R5 12xlarge","r5.12xlarge","384.0 GiB","173 units","48 vCPUs","0","0","3.604 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","No","Yes","Yes","No","HVM","Yes","$3.024000 hourly","$1.905000 hourly","$3.154 hourly","$2.035 hourly","$3.174 hourly","$1.965 hourly","$5.232000 hourly","$4.113000 hourly","$6.043 hourly","$4.924 hourly","$10.992 hourly","$9.873 hourly","$23.232 hourly","$22.113 hourly","$3.835 hourly","$2.716 hourly","$8.784 hourly","$7.665 hourly","$21.024 hourly","$19.905 hourly","0","$0.270 hourly"
"R5 24xlarge","r5.24xlarge","768.0 GiB","347 units","96 vCPUs","0","0","3.615 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","No","Yes","Yes","No","HVM","Yes","$6.048000 hourly","$3.810000 hourly","$6.178 hourly","$3.94 hourly","$6.198 hourly","$3.87 hourly","$10.464000 hourly","$8.226000 hourly","$12.086 hourly","$9.849 hourly","$21.984 hourly","$19.746 hourly","$46.464 hourly","$44.226 hourly","$7.67 hourly","$5.433 hourly","$17.568 hourly","$15.33 hourly","$42.048 hourly","$39.81 hourly","0","$0.270 hourly"
"R5 Double Extra Large","r5.2xlarge","64.0 GiB","38 units","8 vCPUs","0","0","4.75 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","Yes","$0.504000 hourly","$0.318000 hourly","$0.634 hourly","$0.448 hourly","$0.654 hourly","$0.378 hourly","$0.872000 hourly","$0.686000 hourly","$1.007 hourly","$0.821 hourly","$1.832 hourly","$1.646 hourly","$3.872 hourly","$3.686 hourly","$0.639 hourly","$0.453 hourly","$1.464 hourly","$1.278 hourly","$3.504 hourly","$3.318 hourly","0","$0.126 hourly"
